Fecha,Confirm,Confirm_Acum,Muertes,Muertes_Acum,Recuperados,Recuperados_Acum,Vacunados_Prim,Vacunados_Seg
2021-02-03,208,21662,9,1491,184,16213,687,0
2021-02-04,220,21882,10,1501,190,16403,1044,0
2021-02-05,140,22022,10,1511,285,16688,1369,0
2021-02-06,128,22150,4,1515,150,16838,1369,0
2021-02-07,4,22154,0,1515,83,16921,1369,0
2021-02-08,135,22289,7,1522,159,17080,1525,0
2021-02-09,151,22440,5,1527,334,17414,1666,0
2021-02-10,191,22631,3,1530,224,17638,1674,0
2021-02-11,134,22765,3,1533,232,17870,0,0
2021-02-12,95,22860,3,1536,138,18008,0,0
2021-02-13,119,22979,3,1539,161,18169,0,0
2021-02-14,50,23029,2,1541,54,18223,0,0
2021-02-15,59,23088,3,1544,200,18423,0,0
2021-02-16,52,23140,4,1548,196,18619,0,0
2021-02-17,169,23309,6,1554,285,18904,0,0
2021-02-18,146,23455,2,1556,257,19161,0,0
2021-02-19,110,23565,3,1559,249,19410,0,0
2021-02-20,83,23648,0,1559,144,19554,0,0
2021-02-21,49,23697,1,1560,85,19639,0,0
2021-02-22,107,23804,3,1563,152,19791,1674,24
2021-02-23,152,23956,4,1567,180,19971,1674,166
2021-02-24,163,24119,5,1572,208,20179,1674,588
2021-02-25,90,24209,4,1576,220,20399,1674,1320
2021-02-26,144,24353,4,1580,140,20539,0,0
2021-02-27,64,24417,0,1580,128,20667,0,0
2021-02-28,40,24457,0,1580,4,20671,1674,1320
2021-03-01,76,24533,4,1584,135,20806,0,0
2021-03-02,98,24631,3,1587,151,20957,1674,1625
2021-03-03,109,24740,4,1591,191,21148,1674,1661
2021-03-04,124,24864,3,1594,134,21282,1674,1664
2021-03-05,77,24941,4,1598,95,21377,1674,1664
2021-03-06,100,25041,3,1601,119,21496,16364,1664
2021-03-07,18,25059,3,1604,50,21546,16435,1664
2021-03-08,63,25122,4,1608,59,21605,17494,1664
2021-03-09,83,25205,3,1611,52,21657,18542,1664
2021-03-10,102,25307,4,1615,169,21826,20285,1664
2021-03-11,88,25395,4,1619,149,21975,21453,1664
2021-03-12,78,25473,2,1621,107,22082,22558,1664
2021-03-13,42,25515,3,1624,83,22165,22732,1664
2021-03-14,22,25537,0,1624,49,22214,22822,1664
2021-03-15,58,25595,3,1627,107,22321,23429,1664
2021-03-16,86,25681,3,1630,152,22473,24375,1664
2021-03-17,107,25788,4,1634,163,22636,25442,1664
2021-03-18,64,25852,3,1637,90,22726,26126,1664
2021-03-19,77,25929,2,1639,142,22868,28861,1664
2021-03-20,45,25974,4,1643,62,22930,26963,1664
2021-03-21,33,26007,1,1644,44,22974,27018,1664
2021-03-22,72,26079,1,1645,76,23050,27614,1978
2021-03-23,68,26147,0,1645,98,23148,29162,4191
2021-03-24,123,26270,2,1647,109,23257,31661,7689
2021-03-25,77,26347,2,1649,124,23381,34754,11199
2021-03-26,95,26442,1,1650,77,23458,38143,14673
2021-03-27,87,26529,0,1650,100,23558,38515,15460
2021-03-28,38,26567,1,1651,18,23576,38603,15530
2021-03-29,75,26642,2,1653,63,23639,40727,16456
2021-03-30,109,26751,2,1655,83,23722,43424,17701
2021-03-31,156,26907,2,1657,102,23824,45948,19200
2021-04-01,128,27035,2,1659,88,23912,48106,20269
2021-04-02,37,27072,0,1659,78,23990,48220,20767
2021-04-03,46,27118,0,1659,42,24032,48295,21075
2021-04-04,24,27142,0,1659,22,24054,48453,21083
2021-04-05,96,27238,3,1662,58,24112,52450,22430
2021-04-06,95,27333,4,1666,86,24198,57183,23308
2021-04-07,144,27477,3,1669,107,24305,61359,24277
2021-04-08,122,27599,4,1673,64,24369,64915,25177
2021-04-09,142,27741,3,1676,77,24446,67801,25787
2021-04-10,82,27823,0,1676,45,24491,68510,25849
2021-04-11,29,27852,2,1678,33,24524,68893,25880
2021-04-12,132,27984,4,1682,72,24596,71100,26521
2021-04-13,141,28125,3,1685,68,24664,73243,28009
2021-04-14,161,28286,0,1685,123,24787,75297,30437
2021-04-15,154,28440,0,1685,77,24864,77227,33396
2021-04-16,187,28627,4,1689,0,24864,78766,36588
2021-04-17,98,28725,3,1692,87,25046,79009,36892
2021-04-18,83,28808,2,1694,38,25084,79226,36943
2021-04-19,178,28986,5,1699,75,25159,80272,39171
2021-04-20,233,29219,4,1703,109,25268,81786,40635
2021-04-21,274,29493,3,1706,156,25424,83122,41405
