Fecha,Confirm,Confirm_Acum,Muertes,Muertes_Acum,Recuperados,Recuperados_Acum,Vacunados_Prim,Vacunados_Seg
03/02/2021,561,54549,13,1633,116,36081,361,0
04/02/2021,330,54879,9,1642,26,36107,1030,0
05/02/2021,365,55244,9,1651,154,36261,1783,0
06/02/2021,322,55566,12,1663,67,36328,1859,0
07/02/2021,350,55916,7,1670,82,36410,1859,0
08/02/2021,286,56202,11,1681,68,36478,1938,0
09/02/2021,291,56493,11,1692,52,36530,1987,0
10/02/2021,410,56903,12,1704,92,36622,2006,0
11/02/2021,306,57209,7,1711,115,36737,0,0
12/02/2021,316,57525,6,1717,98,36835,0,0
13/02/2021,209,57734,7,1724,260,37095,0,0
14/02/2021,222,57956,6,1730,69,37164,0,0
15/02/2021,107,58063,6,1736,64,37228,0,0
16/02/2021,251,58314,13,1749,60,37288,0,0
17/02/2021,142,58456,7,1756,48,37336,0,0
18/02/2021,134,58590,12,1768,30,37366,0,0
19/02/2021,252,58842,6,1774,89,37455,0,0
20/02/2021,290,59132,9,1783,124,37579,0,0
21/02/2021,145,59277,10,1793,99,37678,0,0
22/02/2021,163,59440,8,1801,79,37757,2009,12
23/02/2021,197,59637,12,1813,74,37831,2009,31
24/02/2021,209,59846,11,1824,72,37903,2009,264
25/02/2021,237,60083,11,1835,122,38025,2033,1918
26/02/2021,237,60320,9,1844,56,38081,0,0
27/02/2021,171,60491,2,1846,86,38167,0,0
28/02/2021,93,60584,5,1851,149,38316,2033,1918
01/03/2021,75,60659,3,1854,52,38368,0,0
02/03/2021,84,60743,4,1858,36,38404,2033,1918
03/03/2021,119,60862,1,1859,72,38476,2033,1918
04/03/2021,141,61003,2,1861,41,38517,2033,1918
05/03/2021,255,61258,7,1868,112,38629,2033,1918
06/03/2021,132,61390,3,1871,298,38927,23147,1918
07/03/2021,141,61531,4,1875,297,39224,23589,1918
08/03/2021,84,61615,5,1880,261,39485,24431,1918
09/03/2021,136,61751,2,1882,260,39745,25568,1918
10/03/2021,120,61871,2,1884,292,40037,27254,1918
11/03/2021,127,61998,1,1885,217,40254,28436,1918
12/03/2021,135,62133,3,1888,292,40546,29585,1918
